"id","status","current_lesson","xp"
"75","STARTED","9","22350"
"5","STARTED","1","0"
"8","STARTED","1","0"
"9","STARTED","1","0"
"10","STARTED","1","0"
"11","STARTED","1","0"
"13","STARTED","9","0"
"47","STARTED","1","0"
"48","STARTED","1","0"
"50","STARTED","1","0"
"51","STARTED","1","0"
"54","STARTED","9","22350"
"67","STARTED","7","850"
"76","STARTED","3","300"
"14","STARTED","10","1400"
"77","STARTED","9","0"
"73","STARTED","5","300"
"57","STARTED","2","100"
"74","STARTED","4","250"
"52","STARTED","1","0"
"60","STARTED","1","0"
"63","STARTED","1","0"
"64","STARTED","5","300"
"66","STARTED","4","250"
